央视,#genre#
黑龙江卫视,http://39.130.215.166:6410/gitv_live/G_HEILONGJIANG-HD/G_HEILONGJIANG-HD.m3u8
黑龙江卫视,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225940/index.m3u8
东南卫视,http://39.130.215.166:6410/gitv_live/G_DONGNAN-HD/G_DONGNAN-HD.m3u8
贵州卫视,http://39.130.215.166:6410/gitv_live/G_GUIZHOU-HD/G_GUIZHOU-HD.m3u8
云南卫视,http://39.130.215.166:6410/gitv_live/G_YUNNAN-HD/G_YUNNAN-HD.m3u8
云南影视,http://39.130.215.166:6410/gitv_live/G_YNTV-5-HD/G_YNTV-5-HD.m3u8
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225704/index.m3u8
湖北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225699/index.m3u8
江苏卫视,http://39.135.138.58:18890/PLTV/88888910/224/3221225702/index.m3u8
浙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225703/index.m3u8
东方卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225659/index.m3u8
北京卫视,http://183.207.249.138/ott.js.chinamobile.com/PLTV/3/224/3221227694/index.m3u8
四川卫视,http://39.134.39.39/PLTV/88888888/224/3221226307/index.m3u8#http://39.130.215.222:6610/gitv_live/G_SICHUAN-HD/
广东卫视,http://223.110.245.157/ott.js.chinamobile.com/PLTV/3/224/3221227673/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225701/index.m3u8
深圳卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225700/index.m3u8
重庆卫视,http://39.134.39.39/PLTV/88888888/224/3221226280/index.m3u8#http://39.134.116.30:8080/PLTV/88888910/224/3221225692/index.m3u8
贵州卫视,http://117.187.54.44/gz.ucdn.10086.cn/PLTV/88888888/224/3221226165/01.m3u8?fmt=ts2hls#http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226497/1.m3u8#http://39.134.7.247/000000001000/5468064193211864646/1.m3u8
辽宁卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225696/index.m3u8
天津卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225698/index.m3u8
山东卫视,http://223.110.243.157/ott.js.chinamobile.com/PLTV/3/224/3221227671/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225697/index.m3u8
湖北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225699/index.m3u8
安徽卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225691/index.m3u8
黑龙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225690/index.m3u8
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225705/index.m3u8
山西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225730/index.m3u8
吉林卫视,http://117.187.54.44/gz.ucdn.10086.cn/PLTV/88888888/224/3221226078/01.m3u8?fmt=ts2hls#rtsp://183.252.166.199/PLTV/88888888/224/3221226792/48616745.smil#http://39.134.116.30:8080/PLTV/88888910/224/3221225680/index.m3u8
广西卫视,http://39.134.65.80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225622/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225731/index.m3u8
河北卫视,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226507/1.m3u8#http://39.134.116.30:8080/PLTV/88888910/224/3221225732/index.m3u8#http://hlgzs.icu/php/jsgdtv.php?id=hebeiHD_7000#http://wx.tt1008.top/gd.php?id=hebeiHD_7000
东南卫视,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226496/1.m3u8#http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221227670/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8#http://hlgzs.icu/php/jsgdtv.php?id=dongnan_1500#http://wx.tt1008.top/gd.php?id=dongnan_1500
云南卫视,http://39.130.215.222:6410/gitv_live/G_YUNNAN-HD/G_YUNNAN-HD.m3u8#http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221225838/index.m3u8#http://39.134.116.30:8080/PLTV/88888910/224/3221225664/index.m3u8
海南卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226048/10000100000000060000000002296889_0.smil#http://39.134.116.30:8080/PLTV/88888910/224/3221225722/index.m3u8
新疆卫视,http://39.134.116.30:8080/PLTV/88888910/224/3221225725/index.m3u8#http://hlgzs.icu/php/jsgdtv.php?id=xinjiang_1500#http://wx.tt1008.top/gd.php?id=xinjiang_1500
河南卫视,http://hlgzs.icu/php/jsgdtv.php?id=henan_1500#http://wx.tt1008.top/gd.php?id=henan_1500
陕西卫视,http://117.148.187.83/PLTV/88888888/224/3221226177/index.m3u8#http://39.134.116.30:8080/PLTV/88888910/224/3221225729/index.m3u8
兵团卫视,http://hlgzs.icu/php/jsgdtv.php?id=bingtuan_1500#http://wx.tt1008.top/gd.php?id=bingtuan_1500
内蒙古卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225667/index.m3u8
青海卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225727/index.m3u8
宁夏卫视,http://39.134.116.30:8080/PLTV/88888910/224/3221225726/index.m3u8
甘肃卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225724/index.m3u8
西藏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8
三沙卫视,http://111.13.42.42/PLTV/88888888/224/3221226544/1.m3u8
厦门卫视,http://223.110.241.150:6610/gitv/live1/G_XIAMEN/G_XIAMEN/
延边卫视,http://223.110.241.150:6610/gitv/live1/G_YANBIAN/G_YANBIAN/#http://117.187.54.44/gz.ucdn.10086.cn/PLTV/88888888/224/3221225721/1/index.m3u8?fmt=ts2hls

东南卫视,http://39.134.66.66/PLTV/88888888/224/3221225500/index.m3u8
东方卫视,http://39.134.66.66/PLTV/88888888/224/3221225548/index.m3u8
东方卫视,http://39.134.66.66/PLTV/88888888/224/3221225598/index.m3u8
云南卫视,http://39.134.66.66/PLTV/88888888/224/3221225575/index.m3u8
北京卫视,http://39.134.66.66/PLTV/88888888/224/3221225564/index.m3u8
北京卫视,http://39.134.66.66/PLTV/88888888/224/3221225574/index.m3u8
北京卫视,http://39.134.66.66/PLTV/88888888/224/3221225689/index.m3u8
吉林卫视,http://39.134.66.66/PLTV/88888888/224/3221225572/index.m3u8
四川卫视,http://39.134.66.66/PLTV/88888888/224/3221225497/index.m3u8
天津卫视,http://39.134.66.66/PLTV/88888888/224/3221225528/index.m3u8
宁夏卫视,http://39.134.66.66/PLTV/88888888/224/3221225579/index.m3u8
安徽卫视,http://39.134.66.66/PLTV/88888888/224/3221225586/index.m3u8
山东卫视,http://39.134.66.66/PLTV/88888888/224/3221225566/index.m3u8
山西卫视,http://39.134.66.66/PLTV/88888888/224/3221225496/index.m3u8
广东卫视,http://39.134.66.66/PLTV/88888888/224/3221225544/index.m3u8
广东卫视,http://39.134.66.66/PLTV/88888888/224/3221225587/index.m3u8
广西卫视,http://39.134.66.66/PLTV/88888888/224/3221225498/index.m3u8
新疆卫视,http://39.134.66.66/PLTV/88888888/224/3221225582/index.m3u8
江苏卫视,http://39.134.66.66/PLTV/88888888/224/3221225568/index.m3u8
河北卫视,http://39.134.66.66/PLTV/88888888/224/3221225495/index.m3u8
浙江卫视,http://39.134.66.66/PLTV/88888888/224/3221225532/index.m3u8
海南卫视,http://39.134.66.66/PLTV/88888888/224/3221225530/index.m3u8
深圳卫视,http://39.134.66.66/PLTV/88888888/224/3221225551/index.m3u8
甘肃卫视,http://39.134.66.66/PLTV/88888888/224/3221225584/index.m3u8
西藏卫视,http://39.134.66.66/PLTV/88888888/224/3221225570/index.m3u8
贵州卫视,http://39.134.66.66/PLTV/88888888/224/3221225576/index.m3u8
辽宁卫视,http://39.134.66.66/PLTV/88888888/224/3221225499/index.m3u8
重庆卫视,http://39.134.66.66/PLTV/88888888/224/3221225502/index.m3u8
陕西卫视,http://39.134.66.66/PLTV/88888888/224/3221225567/index.m3u8
青海卫视,http://39.134.66.66/PLTV/88888888/224/3221225573/index.m3u8
黑龙江卫视,http://39.134.66.66/PLTV/88888888/224/3221225537/index.m3u8
黑龙江卫视,http://39.134.66.66/PLTV/88888888/224/3221225543/index.m3u8
内蒙古卫视,http://39.134.66.66/PLTV/88888888/224/3221225577/index.m3u8
安多卫视,http://39.134.66.66/PLTV/88888888/224/3221225531/index.m3u8
康巴卫视,http://39.134.66.66/PLTV/88888888/224/3221225527/index.m3u8
山东教育卫视,http://39.134.66.66/PLTV/88888888/224/3221225558/index.m3u8

深圳卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8
广东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225742/index.m3u8
浙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225744/index.m3u8
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225745/index.m3u8
东方卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8
上海纪实,http://39.134.115.163:8080/PLTV/88888910/224/3221225654/index.m3u8
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8
北京纪实,http://39.134.115.163:8080/PLTV/88888910/224/3221225675/index.m3u8
天津卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225739/index.m3u8
河北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225732/index.m3u8
安徽卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225737/index.m3u8
山东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225738/index.m3u8
山西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225730/index.m3u8
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225746/index.m3u8
湖北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225740/index.m3u8
四川卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225733/index.m3u8
重庆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225734/index.m3u8
辽宁卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8
吉林卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225680/index.m3u8
黑龙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225736/index.m3u8
东南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
广西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225731/index.m3u8
海南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225722/index.m3u8
云南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225664/index.m3u8
贵州卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225728/index.m3u8
陕西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225729/index.m3u8
青海卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225727/index.m3u8
宁夏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225726/index.m3u8
甘肃卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225724/index.m3u8
新疆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225725/index.m3u8
西藏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8
内蒙古卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225667/index.m3u8

广东卫视,http://39.134.65.65/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225736/index.m3u8
深圳卫视,http://39.134.65.63/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
重庆卫视,http://39.130.215.222:6610/gitv_live/G_CHONGQING-HD/
四川卫视,http://39.134.39.39/PLTV/88888888/224/3221226307/index.m3u8
四川卫视,http://39.130.215.222:6610/gitv_live/G_SICHUAN-HD/
云南卫视,http://39.130.215.222:6410/gitv_live/G_YUNNAN-HD/G_YUNNAN-HD.m3u8
浙江卫视,http://39.134.65.86/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
江苏卫视,http://39.134.65.68/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
东方卫视,http://39.135.135.40/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
湖南卫视,http://39.134.65.77/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
广西卫视,http://39.134.65.80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225622/index.m3u8
海南卫视,http://39.134.65.63/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225639/index.m3u8
厦门卫视,http://223.110.241.150:6610/gitv/live1/G_XIAMEN/G_XIAMEN/
北京卫视,http://39.135.135.48/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
天津卫视,http://39.135.135.73/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
兵团卫视,http://223.110.241.150:6610/gitv/live1/G_BINGTUAN/G_BINGTUAN/
兵团卫视,http://39.134.39.39/PLTV/88888888/224/3221226298/index.m3u8
兵团卫视,http://117.148.187.83/PLTV/88888888/224/3221226186/index.m3u8
西藏卫视,http://39.134.65.85/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8


深圳卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8
深圳卫视,http://223.110.243.171/PLTV/3/224/3221227217/index.m3u8
广东卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/guangdongstv/index.m3u8?IAS
江苏卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/jiangsustv/index.m3u8?IAS
东南卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/dongnanstv/index.m3u8?IAS
东方卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/dongfangstv/index.m3u8?IAS
北京卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/beijingstv/index.m3u8?IAS
吉林卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/jilinstv/index.m3u8?IAS
四川卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/sichuanstv/index.m3u8?IAS
天津卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/tianjinstv/index.m3u8?IAS
安徽卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/anhuistv/index.m3u8?IAS
山东卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/shandongstv/index.m3u8?IAS

河北卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/hebeistv/index.m3u8?IAS
河南卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/henanstv/index.m3u8?IAS
浙江卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/zhejiangstv/index.m3u8?IAS
湖北卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/hubeistv/index.m3u8?IAS
湖南卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/hunanstv/index.m3u8?IAS
贵州卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/guizhoustv/index.m3u8?IAS
辽宁卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/liaoningstv/index.m3u8?IAS
重庆卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/chongqingstv/index.m3u8?IAS
黑龙江卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/hljtv1/index.m3u8?IAS

云南卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/yunnanstv/index.m3u8?IAS
宁夏卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/ningxiastv/index.m3u8?IAS
山西卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/shanxistv/index.m3u8?IAS
广西卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/guangxistv/index.m3u8?IAS
新疆卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/xinjiangstv/index.m3u8?IAS
江西卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/jiangxistv/index.m3u8?IAS
海南卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/lvyoustv/index.m3u8?IAS
甘肃卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/gansustv/index.m3u8?IAS
西藏卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/xizangstv/index.m3u8?IAS
陕西卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/shanxi1stv/index.m3u8?IAS
青海卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/qinghaistv/index.m3u8?IAS
内蒙古卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/neimenggustv/index.m3u8?IAS
延边卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/SD-1500k-576P-yanbianstv/index.m3u8?IAS
康巴卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/kamba-tv/index.m3u8?IAS
山东教育卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/shandongjy/index.m3u8?IAS


厦门卫视,http://39.134.168.91/PLTV/1/224/3221225640/index.m3u8

广东卫视,http://223.110.243.146/ott.js.chinamobile.com/PLTV/3/224/3221227691/index.m3u8
浙江卫视,http://223.110.243.146/ott.js.chinamobile.com/PLTV/3/224/3221227692/index.m3u8
山东卫视,http://223.110.243.146/ott.js.chinamobile.com/PLTV/3/224/3221227697/index.m3u8
东方卫视,http://223.110.243.146/ott.js.chinamobile.com/PLTV/3/224/3221227732/index.m3u8
湖南卫视,http://223.110.243.146/ott.js.chinamobile.com/PLTV/3/224/3221227735/index.m3u8
山东卫视,http://223.110.243.146/ott.js.chinamobile.com/PLTV/3/224/3221227671/index.m3u8
黑龙江卫视,http://223.110.243.146/ott.js.chinamobile.com/PLTV/3/224/3221227753/index.m3u8
黑龙江卫视,http://223.110.243.146/ott.js.chinamobile.com/PLTV/3/224/3221227662/index.m3u8
安徽卫视,http://223.110.243.146/ott.js.chinamobile.com/PLTV/3/224/3221227759/index.m3u8
四川卫视,http://223.110.243.146/ott.js.chinamobile.com/PLTV/3/224/3221227556/index.m3u8
西藏卫视,http://223.110.243.146/ott.js.chinamobile.com/PLTV/3/224/3221227562/index.m3u8
广西卫视,http://223.110.243.146/ott.js.chinamobile.com/PLTV/3/224/3221227609/index.m3u8
兵团卫视,http://223.110.243.146/ott.js.chinamobile.com/PLTV/3/224/3221227654/index.m3u8


南方卫视,http://223.110.247.161:6610/gitv/live1/G_NANFANG/G_NANFANG
南方卫视,http://223.110.245.153/ott.js.chinamobile.com/PLTV/3/224/3221227005/index.m3u8
兵团卫视,http://223.110.247.161:6610/gitv/live1/G_BINGTUAN/G_BINGTUAN

延边卫视,http://223.110.247.161:6610/gitv/live1/G_YANBIAN/G_YANBIAN
农林卫视,http://223.110.247.161:6610/gitv/live1/G_NONGLIN/G_NONGLIN
康巴卫视,http://223.110.247.161:6610/gitv/live1/G_KANGBA/G_KANGBA
安多卫视,http://223.110.247.161:6610/gitv/live1/G_ANDUO/G_ANDUO
康巴卫视,http://scgctvshow.sctv.com/sdlive/kangba/1.m3u8
康巴卫视,http://scgctvshow.sctv.com/hdlive/kangba/1.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-a772df604950/index.m3u8




海峡卫视,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil
海峡卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil


三沙卫视 ,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226544/1.m3u8



兵团卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/bingtuan/index.m3u8?IAS
延边卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/SD-1500k-576P-yanbianstv/index.m3u8?IAS
康巴卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/kamba-tv/index.m3u8?IAS



北京卫视,http://117.169.119.199:8080/live/hdbeijingstv/index.m3u8
天津卫视,http://39.134.66.66/PLTV/88888888/224/3221225665/index.m3u8
天津卫视,http://112.17.40.140/PLTV/88888888/224/3221226412/index.m3u8
东方卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225659/index.m3u8
浙江卫视,http://223.110.243.173/PLTV/3/224/3221227215/index.m3u8
江苏卫视,http://112.17.40.140/PLTV/88888888/224/3221226414/index.m3u8
东南卫视,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000002000009263/1.m3u8?channel-id=ystenlive&Contentid=1000000002000009263&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000002000009263&owchid=ystenlive&owsid=1106497909461310172&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5oj7lZFbEKIj3xJcvQPkjhM1XYZKCRYYY%2ff447%2bzETLijqfFgMTSA9x9T2lf3pyhagZIF%2fdE1lc49i65lODYA%2f
山东卫视,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000012807/1.m3u8?channel-id=ystenlive&Contentid=1000000001000012807&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000012807&owchid=ystenlive&owsid=1106497909461291586&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaR3cBsIsjm7UHdGO3a4NjD1C4TiYtYt%2by66pvMI%2bkz57DAkgjzetftIzpJRR8RWa0K
湖北卫视,http://223.110.243.171/PLTV/3/224/3221227211/index.m3u8
安徽卫视,http://39.134.66.66/PLTV/88888888/224/3221225675/index.m3u8
安徽卫视,http://223.110.247.161:6610/gitv/live1/G_ANHUI-CQ/G_ANHUI-CQ

辽宁卫视,http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227410/index.m3u8
黑龙江卫视,http://39.134.116.30:8080/PLTV/88888910/224/3221225690/index.m3u8
黑龙江卫视,http://112.17.40.140/PLTV/88888888/224/3221226555/index.m3u8
江西卫视,http://112.17.40.140/PLTV/88888888/224/3221226557/index.m3u8

河南卫视,http://223.110.245.157/ott.js.chinamobile.com/PLTV/3/224/3221225815/index.m3u8
海南卫视,http://39.134.39.39/PLTV/88888888/224/3221226301/index.m3u8
云南卫视,http://39.130.215.166:6410/gitv_live/G_YUNNAN-HD/G_YUNNAN-HD.m3u8
云南卫视,http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221225838/index.m3u8
贵州卫视,http://112.50.243.4/PLTV/88888888/224/3221226827/1.m3u8
四川卫视,http://39.130.206.216:6610/gitv_live/G_SICHUAN-HD/G_SICHUAN-HD.m3u8?IASHttpSessionId=SLB155720200826193408055193
陕西卫视,http://223.110.247.161:6610/gitv/live1/G_SHANXI/G_SHANXI
陕西卫视,http://112.17.40.140/PLTV/88888888/224/3221226177/index.m3u8
甘肃卫视,http://39.134.39.39/PLTV/88888888/224/3221226240/index.m3u8
